--
-- total memory      263438872.0 kB
-- available         258866044.0 kB
-- 28 cores
-- Starting program: /gscratch/srlab/programs/wtdbg-2.1_x64-linux/wtpoa-cns -t 28 -i /gscratch/scrubbed/jldimond/Ae_wtdbg2_103118/Ae.ctg.lay -fo Ae.ctg.lay.fa
-- pid                      7148
-- date         Sat Nov 10 18:11:54 2018
--

1 contigs 100 edges
1 contigs 200 edges
1 contigs 300 edges
2 contigs 400 edges
2 contigs 500 edges
2 contigs 600 edges
3 contigs 700 edges
3 contigs 800 edges
3 contigs 900 edges
3 contigs 1000 edges
4 contigs 1100 edges
4 contigs 1200 edges
5 contigs 1300 edges
5 contigs 1400 edges
5 contigs 1500 edges
6 contigs 1600 edges
6 contigs 1700 edges
6 contigs 1800 edges
6 contigs 1900 edges
7 contigs 2000 edges
7 contigs 2100 edges
7 contigs 2200 edges
7 contigs 2300 edges
7 contigs 2400 edges
8 contigs 2500 edges
8 contigs 2600 edges
9 contigs 2700 edges
9 contigs 2800 edges
9 contigs 2900 edges
9 contigs 3000 edges
10 contigs 3100 edges
10 contigs 3200 edges
11 contigs 3300 edges
11 contigs 3400 edges
12 contigs 3500 edges
12 contigs 3600 edges
12 contigs 3700 edges
13 contigs 3800 edges
13 contigs 3900 edges
14 contigs 4000 edges
14 contigs 4100 edges
14 contigs 4200 edges
14 contigs 4300 edges
15 contigs 4400 edges
15 contigs 4500 edges
15 contigs 4600 edges
15 contigs 4700 edges
16 contigs 4800 edges
16 contigs 4900 edges
16 contigs 5000 edges
17 contigs 5100 edges
17 contigs 5200 edges
18 contigs 5300 edges
18 contigs 5400 edges
18 contigs 5500 edges
18 contigs 5600 edges
18 contigs 5700 edges
19 contigs 5800 edges
19 contigs 5900 edges
19 contigs 6000 edges
20 contigs 6100 edges
20 contigs 6200 edges
21 contigs 6300 edges
21 contigs 6400 edges
22 contigs 6500 edges
22 contigs 6600 edges
22 contigs 6700 edges
23 contigs 6800 edges
23 contigs 6900 edges
24 contigs 7000 edges
24 contigs 7100 edges
25 contigs 7200 edges
25 contigs 7300 edges
25 contigs 7400 edges
25 contigs 7500 edges
26 contigs 7600 edges
27 contigs 7700 edges
27 contigs 7800 edges
28 contigs 7900 edges
28 contigs 8000 edges
28 contigs 8100 edges
29 contigs 8200 edges
29 contigs 8300 edges
29 contigs 8400 edges
30 contigs 8500 edges
30 contigs 8600 edges
31 contigs 8700 edges
31 contigs 8800 edges
32 contigs 8900 edges
32 contigs 9000 edges
32 contigs 9100 edges
32 contigs 9200 edges
32 contigs 9300 edges
33 contigs 9400 edges
33 contigs 9500 edges
34 contigs 9600 edges
34 contigs 9700 edges
35 contigs 9800 edges
35 contigs 9900 edges
35 contigs 10000 edges
35 contigs 10100 edges
36 contigs 10200 edges
36 contigs 10300 edges
37 contigs 10400 edges
37 contigs 10500 edges
38 contigs 10600 edges
38 contigs 10700 edges
39 contigs 10800 edges
39 contigs 10900 edges
39 contigs 11000 edges
40 contigs 11100 edges
41 contigs 11200 edges
41 contigs 11300 edges
41 contigs 11400 edges
42 contigs 11500 edges
42 contigs 11600 edges
43 contigs 11700 edges
43 contigs 11800 edges
44 contigs 11900 edges
44 contigs 12000 edges
45 contigs 12100 edges
46 contigs 12200 edges
46 contigs 12300 edges
46 contigs 12400 edges
47 contigs 12500 edges
48 contigs 12600 edges
48 contigs 12700 edges
49 contigs 12800 edges
49 contigs 12900 edges
50 contigs 13000 edges
50 contigs 13100 edges
51 contigs 13200 edges
52 contigs 13300 edges
52 contigs 13400 edges
53 contigs 13500 edges
53 contigs 13600 edges
54 contigs 13700 edges
54 contigs 13800 edges
55 contigs 13900 edges
55 contigs 14000 edges
56 contigs 14100 edges
56 contigs 14200 edges
56 contigs 14300 edges
56 contigs 14400 edges
57 contigs 14500 edges
58 contigs 14600 edges
58 contigs 14700 edges
59 contigs 14800 edges
59 contigs 14900 edges
59 contigs 15000 edges
59 contigs 15100 edges
60 contigs 15200 edges
60 contigs 15300 edges
61 contigs 15400 edges
